TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11
a1424228,a0c20302,a7a34409,a2c6c1a6,a321a385,a1c68113,a1a28181,a1c0820a,a025c099,a1240316,a0634111,a0820081
a0a29102,a0010102,a3a00288,a024070f,a2a08a01,a0400892,a042c017,a3e343b1,a1a2c905,a161c486,a10c4010,a3a7cf03
a0e5438b,a02a8191,a0654184,a0800407,a061000d,a141c21e,a148c080,a0c54fa7,a5424191,a121c01d,a0020a04,a3e3ca0b
a203c908,a0824c86,a2200305,a3044901,a0a5c704,a14dc486,a360c50d,a0c0c602,a3614401,a0209ca4,a0c2c58f,a3e20303
a3058384,a1028205,a4640902,a1a14205,a0d09b03,a0005b8c,a0230018,a0e20908,a6a34004,a282c880,a2ab8501,a0819493
a22b8581,a2610a0d,a2c04606,a1624786,a0e1d107,a20088a1,a0c0c40e,a0884406,a1230f86,a027c7fd,a4610095,a00a0093
a0e2801e,a2810087,a120011a,a2c15010,a0290382,a7a041a4,a1360f0f,a0c28a84,a3a30182,a400c421,a54084ac,a0cac080
a3e00601,a5e01808,a0a0c024,a0024b0d,a022c51b,a043c309,a0e1849b,a2010109,a1e1cd10,a0c10687,a120860b,a1848684
a0c88293,a4805981,a2a1cd05,a003c980,a1e74e01,a225c583,a22a0025,a1c64423,a6ac899b,a0258284,a2afcc80,a0e00918
a1448102,a240c111,a0008019,a520a684,a0c14218,a1868b84,a0818696,a1001b91,a0408094,a0c4cb09,a1a04010,a1808803
a0274607,a04e1605,a3b00195,a0418308,a080c1c9,a2a18008,a2c84100,a0e74714,a0224097,a2c6c415,a08888a0,a0a38226
a124c102,a0e288a6,a3a11b92,a1400b17,a1288809,a2c3dc9d,a281820a,a080401c,a1c1c581,a561c301,a1e18984,a164c304
a1c20780,a484030b,a1a20584,a0c0031a,a106cba5,a1828187,a023078b,a124cc85,a1204681,a2a08089,a1404398,a303c005
a1446217,a2238732,a266038f,a0e9c820,a0c39511,a382d08b,a1a3c286,a1820385,a0411702,a0c20a03,a1628905,a2e1d128
a1c0c194,a0629085,a360c303,a004c10b,a0c20787,a0034282,a3c28004,a1c7ca91,a1e10084,a260c88b,a022060b,a0810998
a1014d03,a1a30806,a064c681,a024c28b,a0420a81,a0e00380,a6408806,a5c20703,a060001a,a6698d18,a2814c1c,a3a4d183
a120c988,a3016105,a0e94200,a3828989,a184c109,a240ce08,a6e7c204,a10082a5,a2c2858f,a0248595,a2210b8f,a0a8ca09
a3634786,a0268b48,a1614b09,a0a8818e,a183cf21,a8218105,a3000790,a264440d,a0e3c18b,a0e14080,a3c10d0d,a2c386ae
a0624905,a2858787,a2c14948,a6848e00,a4a5868a,a025890b,a1005483,a0e5450e,a0020209,a0a08f0f,a16249aa,a1c44010
a1a8c398,a2c98204,a144ccfb,a3a54a1d,a083c604,a1234501,a0610b0f,a040d601,a0860784,a52f478d,a0c28490,a0a28399
a1000201,a3078c8e,a3e6c0a4,a0648000,a1814008,a0a3c58c,a1e7c883,a0258305,a0830491,a5c30d0e,a162c603,a0c8909c
a7420e81,a060cb8e,a10086b7,a0a10501,a1401a91,a0000698,a0a1808c,a0e30785,a0e38681,a2c14a84,a0802300,a300010b
a0838d08,a3a25800,aa414891,a0000304,a1600500,a1055583,a0c3830d,a3e041ae,a000871b,a1200485,a1630591,a2f58b82
a0420780,a06280b6,a1028913,a2610287,a0e34811,a1684708,a0258382,a5a44403,a30a1980,a0074617,a1c1c1e3,a0054103
a261419d,a2034494,a1400080,a24b0709,a1c6010a,a3404129,a14085a8,a5a1c987,a023050b,a0404382,a3c6c58e,a0050106
a14f8296,a0e647d6,a187841a,a180c193,a1e08c88,a2000786,a1418108,a2e0500b,a3e1c289,a520cc14,a002811a,a200c2a3
a2228606,a0440237,a4c90e04,a1454306,a1644209,a4a34107,a0630610,a4e99284,a1c34328,a026870a,a100468d,a3abcc89
a043c0a0,a120c233,a0c50091,a085c345,a225c508,a0818607,a0428302,a0900019,a2004700,a022cd87,a320c001,a1018015
a0e4481b,a042c08c,a1020704,a2e45610,a0e043a2,a2804282,a0a18081,a3a1c230,a182420b,a022c400,a06013a5,a0020d83
a0c154a8,a148409b,a3198112,a1054706,a1c58503,a0810910,a2e5820e,a0050f86,a3a4c184,a0200010,a0444b82,a8e25983
a1614105,a220001b,a0a1838c,a1cb8815,a3458e8e,a2014e00,a1044203,a1664918,a5c008bd,a2c7ca88,a0e3890e,a02b830a
a0274c07,a3280000,a043c403,a4618b9c,a00c8d0d,a0c04114,a100858b,a0715213,a0610289,a0e09600,a061440c,a0e98c01
a0c00214,a48b8c8f,a0810f57,a1820116,a5614612,a0044286,a164018d,a1420403,a402c495,a5e0c403,a2208484,a2804003
a0821f88,a52dc683,a0818396,a281c086,a3484f01,a284060a,a1c10683,a181890e,a00a8f88,a6a69187,a4c24d91,a020c803
a1204110,a461481a,a66cc103,a0270204,a080018a,a36b8276,a2060124,a1d20c01,a3838085,a2068615,a2034ea4,a0c28285
a0ef4804,a2e10e92,a461020d,a0200387,a042449e,a047448d,a3c00502,a02188a4,a126448f,a042c08c,a167d13e,a1618182
a0622808,a4a20b03,a1caca1d,a0c10f05,a4c21085,a3070d98,a14049ba,a286000f,a2c7c502,a04bcc11,a0030081,a1e0c18d
a2ea0401,a064229d,a0a2ce87,a0a18415,a061c097,a5838386,a2c88199,a220058c,a0a2c182,a1c00184,a3030c00,a323851d
a06a85a0,a1248c94,a4030010,a1c30007,a0c1c487,a1610705,a120c697,a009c2a7,a3c3c208,a0a00118,a1a70103,a1e1c18d
a2249186,a203c103,a0478b34,a1a7458f,a2e48088,a3458f89,a3a30526,a0618905,a1c382a1,a240c008,a1035508,a1a889a8
a18fc286,a000c383,a041c105,a381a78b,a702c625,a3e48281,a1a5c713,a24ad3a6,a1e18a13,a0868588,a06a9a06,a1809803
a3028584,a1a14100,a3a04217,a0004113,a041c337,a106019e,a0c0c003,a0210382,a0c1468c,a1a286a0,a004400a,a1cbc2a6
a2284115,a0058e03,a060c20d,a36342bb,a0e38014,a0824323,a1604710,a2428416,a0618303,a4c08083,a063d681,a4030088
a022c0aa,a241c782,a123001b,a2a84010,a440068a,a3228098,a0904816,a0e60380,a0848000,a1280202,a1655c84,a401408a
a0a1c581,a1c04e2b,a1614117,a1e04005,a1c083a9,a2800008,a240411a,a1a1441b,a2c05982,a3a1ca00,a2220e0d,a2688337
a3804f03,a1604404,a0480507,a1010f07,a1c08686,a1858804,a120c086,a0c4c78a,a147c600,a042c092,a183c10b,a1a60010
a0e1008a,a283840f,a0670616,a1c68b99,a1408114,a1a31800,a2054626,a246c499,a0640098,a120ca9c,a2634785,a5c58711
a0a04180,a164c006,a103860b,a088c407,a2014620,a0e40f0f,a1a0c00f,a2a10183,a1a18586,a0600002,a641830a,a020c792
a200c184,a0e2c49f,a1c14010,a02c4100,a0044082,a2c2489b,a1238184,a061820e,a160cc02,a2ad0902,a0674500,a0408902
a2475004,a0408192,a0630212,a0204080,a3804004,a0cc401b,a0600405,a001c180,a28045a4,a1c1ce88,a0214104,a242009a
a283173f,a0c74607,a1e5148d,a3460f86,a36a8183,a1035402,a02ecc06,a120c313,a1260001,a18b820d,a006c419,a2238309
a1628904,a020c4ab,a0850a80,a182da99,a18bc708,a041438f,a02142ab,a080801f,a0619784,a0010006,a480c20b,a162008d
a0814e05,a5008100,a0028482,a141848e,a0e48b0b,a223830c,a145900f,a0f18998,a2c4d212,a060c716,a2410046,a0620402
a0c84882,a006c532,a2228e01,a2e04689,a0e40084,a1254423,a5eb0902,a0428100,a2a14c83,a1610004,a1804702,a3c1039a
a1e30481,a161c614,a0400506,a354103a,a223418f,a1020781,a0a4499f,a1e20c00,a0208215,a2c24304,a0e04305,a2e00483
a060c29e,a3204405,a260d309,a0854980,a12c0187,a027c903,a0424483,a1c5830d,a4238286,a1e20090,a1cfc00e,a0204017
a0020083,a1e08001,a1a0c5a5,a005048c,a0034796,a1e3020a,a0414682,a000c108,a0c14714,a58c1e86,a103038e,a00cc209
a0c18880,a0b1c712,a48a0083,a4828004,a1418580,a320c480,a200838e,a0602192,a3809693,a0a08185,a3079181,a2d7d291
a4a48806,a025460a,a0044d98,a102541d,a0610327,a0400a07,a6ee468f,a102c094,a0e18309,a0a0d029,a025c7a2,a1438b82
a121c104,a2404905,a082c91c,a001078f,a4030003,a0a34e06,a0800e88,a1c0899e,a0018508,a027cc26,a0015611,a2814801
a3224201,a483018d,a1c0c484,a1041795,a062e903,a2064201,a3e086a0,a0c14f88,a1020d96,a1a2c184,a3250000,a081410d
a0234103,a0c00d09,a7208f90,a281c204,a4e1851d,a0080a09,a2474181,a0e24b81,a0e34084,a164c703,a1625301,a8810706
a8a180bb,a2214701,a5009106,a6044601,a28c8713,a4c58213,a2608b91,a364400d,a1610a02,a125c486,a12b0228,a0e08592
a141500f,a4c00b8a,a0618a01,a0818c96,a1c2c684,a022032d,a0824284,a123cc0e,a0890931,a1000104,a021c001,a12001a2
a5018194,a345800e,a2e0800d,a709c289,a00c0287,a3a08600,a280cf3c,a0c30719,a2a3c287,a101800a,a0e3c521,a002c909
a101c630,a0810712,a5448d82,a1e00312,a0a50381,a0e44680,a168c488,a026028d,a162c50b,a2230503,a0a6c296,a042c480
a7a0588b,a0678d17,a16ec103,a0ab0916,a1018388,a023c21a,a000c149,a3a08d05,a2e60b89,a421d100,a0840081,a0404404
a2a00581,a1e45184,a000022e,a4c08c03,a1a05313,a1200205,a107090d,a0230700,a0814283,a2e88291,a2634381,a0008002
a1e00210,a200c3a6,a0a7830e,a0e1c913,a0214a0e,a0004305,a08005a0,a1030d0c,a189830b,a3438192,a065c585,a1ccc48b
a6e1e68b,a0844503,a2004787,a3e18a8b,a0638221,a40d5681,a2868c86,a0610680,a18c4087,a0c1080d,a2094a08,a3822103
a096c61b,a084439e,a2c88a87,a08a8397,a18481a2,a1664385,a0414403,a885860d,a6e002a2,a0620582,a0224b19,a0415006
a2c20c74,a0021286,a060018d,a488c60e,a6e50401,a1020c9e,a2004eb9,a144c53c,a1014311,a2ee428f,a20acc9a,a002c820
a4270c8c,a0e104c3,a3a9c7a3,a106812d,a4c10403,a088cd22,a060d01e,a020c5d5,a320008d,a129860c,a024c382,a101e901
a3c0c096,a8a44319,a0a2c081,a4694105,a042d50a,a0408809,a0888d05,a5a0c88d,a0a0c214,a1200a24,a584cc82,a025078c
a0615d82,a0e00493,a0038f93,a08f4031,a024008e,a2a183a0,a462031a,a0020708,a48102b0,a1e20b8e,a0014085,a1820d85
a1c04b95,a102c109,a1410645,a2674080,a1aec000,a1430481,a102c486,a160423b,a1008002,a122cc0a,a0e0c285,a1c88391
a1cb0f85,a0628001,a240a403,a161cc91,a145401d,a2201005,a0020504,a1224003,a4454e00,a484090d,a2860284,a24581a3
a4204213,a1201200,a321488a,a1804f93,a24ac1b0,a260db03,a0804c9a,a243c00b,a3c7c181,a2608599,a4c60102,a342050f
a0410b99,a25b8505,a104c08e,a060800b,a1829605,a0038105,a342c517,a0284089,a2e08685,a1e54301,a021cd03,a280c10a
a38085b5,a1610801,a0af4105,a0024708,a4601b01,a1e1088e,a0e0c9bc,a1604690,a160c084,a2048196,a060c185,a0210182
a28c8182,a581cf02,a3a50103,a0058900,a5a08305,a087d709,a6c8c73f,a464c285,a101c580,a142061b,a3a01316,a280420b
a0c7408f,a100011a,a0c20297,a2a6810d,a121408b,a2804897,a006c120,a266c608,a3658500,a000c405,a1e08289,a64bc19e
a082d984,a06d0684,a140c209,a0e00291,a2414802,a0008882,a007db85,a2814514,a245149a,a2454318,a4808385,a0618100
a3628208,a1e01390,a1400106,a021c58f,a001919d,a3e5cf03,a6a18480,a381028d,a2810494,a205d10e,a1c2c08a,a184d94c
a1e14088,a1e54602,a501c488,a0058784,a0e40580,a6050d06,a3294001,a201c089,a3234384,a183038d,a3000d09,a1824a81
a1a00483,a1030087,a0a44e01,a3a9c496,a121c689,a049010f,a0a00080,a3a5069c,a1204591,a0000286,a0c886cb,a2414099
a0050397,a3b99488,a2268003,a200889a,a0a18081,a080010a,a1a34703,a08d0f08,a3204109,a085c686,a440009a,ae01040c
a10382c9,a0638317,a3624204,a0a28782,a4e64f0d,a0a0cb8d,a381448b,a022031d,a260c284,a0074421,a1008095,a3e21512
a1a5c080,a0c14f02,a0e10128,a0464d92,a2698422,a0e2c703,a6a60715,a202c483,a0208fb4,a0618602,a0c00280,a3a25283
a022c388,a1a4018a,a0e10432,a300c222,a020c60f,a565000c,a121430c,a1404185,a20cc600,a0444291,a3834485,a3a4c142
a440c38e,a0421a8c,a0c10514,a4000987,a00082a0,a008d0ad,a1e58098,a504018d,a420c306,a3c00307,a0a21500,a062040b
a0e24a81,a8018898,a1c44395,a0404b8d,a5010485,a0424700,a0608102,a4a24080,a0001a81,a0c2c804,a084c51c,a061c983
a1a94398,a3a6c481,a12d03a2,a0c0420e,a001c382,a522c103,a243808a,a2220c23,a0630a17,a0844205,a1abc111,a382db09
a0820207,a4e54183,a0008b14,a0a3c108,a0e08f8f,a0c1c288,a4e0128e,a0e5d201,a2660fa1,a2c006a9,a0644802,a1821003
a0800385,a1a38802,a0a74085,a422a12e,a2808084,a4e70891,a004c19d,a0a14583,a069c49b,a1e0ca8f,a3e00601,a4e48602
a2454316,a060178e,a0814387,a10b819e,a0c50a00,a0024080,a184438c,a121030e,a4c18b82,a0850c86,a202828b,a2e5e50c
a5c20704,a0e09801,a140458e,a3824923,a0608982,a0a38611,a3ede508,a187808f,a5874183,a0048303,a5408283,a1c54886
a0818aa9,a0c4cf9c,a0e00683,a1c78302,a1804497,a1020b03,a3241287,a160c38a,a5c1c4a8,a0424d91,a7234300,a4000182
a0c387a8,a0618d86,a2610c82,a1404012,a221021d,a445c009,a1264325,a1230681,a12293a8,a0a6a983,a34bc484,a062000c
a0804512,a0e1c086,a0a0d413,a4890002,a0800f04,a6280187,a082858d,a4295000,a0094513,a1230904,a14c819d,a2e0c30b
a2e2c907,a0814614,a3a2010f,a0e3e880,a1c90d80,a0838180,a064c703,a0208645,a666d485,a001c012,a120019f,a2410783
a021c096,a4618808,a265e293,a1628114,a1408382,a3e20a89,a323c900,a0018ed7,a0a38784,a000c7a0,a1044928,a3a7048c
a0c34b90,a108c702,a06bc689,a301cc0e,a265c183,a4a05b82,a1639613,a094119c,a0877081,a0e35680,a6040997,a02e8015
a0a01a80,a0610490,a063d0d8,a188ce32,a201401f,a3608690,a040c033,a0230806,a1068803,a22a1906,a4c30382,a1244110
a8e6c908,a2654010,a2e00489,a10140a3,a026d00a,a0a4c50d,a223c228,a948c080,a2a58019,a06ac680,a0404615,a1008281
a0e08212,a400c781,a3a2088c,a0458983,a2854107,a161c280,a3e8442c,a142828f,a5430002,a001800a,a3e10a01,a083c71a
a14142a6,a1a0d301,a0825204,a2c5030f,a3018e19,a22406a9,a2c1d48c,a0618c90,a0400112,a0824006,a1030186,a260c292
a0871185,a0cdce82,a0200a89,a2c4060f,a0ac840c,a3438080,a0a14583,a4614d03,a1008081,a0a4898b,a120c222,a4014a14
a1054200,a160810b,a0220887,a0204629,a2e39c03,a3a51ba4,a10c600f,a380114e,a1014092,a02e4619,a1b7c197,a1210484
a522c60f,a0264415,a6438215,a220c107,a007c313,a0828905,a5600605,a08c0091,a085c48d,a1a8408a,a1429a0b,a0c10390
a0218008,a0424a29,a0488893,a2c00380,a3670b8d,a0630110,a802408f,a0e0c882,a062002d,a42241a4,a40a0389,a2e1020a
a0874380,a004090f,a2c081b7,a0a88d88,a3068898,a0c20694,a2c00015,a16d8484,a24c9281,a7c34081,a2c24226,a465c583
a5e7c610,a0858380,a1448112,a221c18d,a5c0420a,a040c106,a1680583,a0c0119d,a0064181,a0e78381,a4854806,a076c310
a0608a8c,a4260391,a3c14d06,a5420a85,a05fcc1f,a101c406,a0c14101,a0e14189,a5004204,a0e0c781,a3454484,a3630b86
a041c002,a00b8488,a1e1069f,a2e44c87,a261d4a6,a145c091,a0008101,a044d4a5,a44542a4,a203c459,a1e58097,a0800098
a1880b8e,a167c300,a1201203,a1014582,a0a28b00,a0a1cd89,a061c712,a0a3c280,a360c697,a000c604,a1e20392,a2408182
a5648206,a0098305,a1e9451f,a0c54694,a0078102,a0e00193,a2034402,a2e58089,a080c206,a621000a,a2a49508,a2e0c701
a020c282,a0654105,a140ca00,a021821e,a081830f,a1824e82,a18087d1,a1260783,a0640090,a363c199,a0c14102,a1c34400
aa600306,a4018588,a048c001,a046c711,a0a103a0,a0004886,a2018188,a444499e,a261d60d,a200018b,a082c117,a4430aa4
a1c0cd96,a5400006,a003c080,a2008b28,a0098d84,a1825809,a6610e97,a0c44185,a02d0709,a0070003,a00403a6,a240460b
a1005288,a180cc94,a0af038a,a3010d84,a1c08205,a420c202,a1aa0080,a0080b89,a0625690,a2600012,a5244201,a1c226a1
a345c890,a1219795,a0a1c209,a0051116,a4ca078c,a1a7c001,a1404c8a,a0214d86,a0b00209,a109dab2,a4e0b38a,a0c0cabd
a1270002,afe08815,a1820306,a001c480,a120470d,a0028d8a,a0a0010b,a0449101,a1a00804,a0e5008f,a2010780,a0065902
a0a2c502,a120268e,a00244bb,a0a25382,a261809d,a3650303,a1644387,a0651e11,a3e18103,a0608685,a86a0989,a1804780
a220c400,a0040403,a340c00e,a161801d,a1e34013,a1458382,a1218104,a1888522,a221909a,a0ec0512,a0664106,a0241d8c
a3a6860d,a0021690,a0808288,a0404083,a2411407,a0688011,a206068d,a0a0c987,a3698080,a287c286,a105428b,a1044005
a0885108,a044cb87,a2c4878c,a02ec082,a184c020,a1640297,a0c14080,a1c60188,a1668e07,a0ee0104,a182c80a,a1031196
a381841a,a64a81a6,a164c405,a0ab80a6,a1604081,a201d011,a0825089,a3afc089,a083069d,a002840e,a5614302,a522c198
a3200603,a124c208,a0008085,a4a30813,a040c79f,a124c299,a0030209,a00a0807,a2e1108d,a103d41b,a0ac0013,a4e3870a
a0678717,a1a38f89,a206ce81,adc1c0a1,a4224409,a2424591,a0404007,a0a00109,a2a74484,a1228496,a0614f85,a0828086
a3200a83,a1a18188,a4a10b86,a0a3451b,a122c305,a2a44218,a1e00012,a0804c2c,a2054722,a1c20207,a004088a,a081041d
aaa60204,a060d890,a1220891,a1844608,a2810582,a2830281,a4400284,a0e18d06,a0830c01,a3870283,a1408390,a4810281
a142c102,a0678695,a2400387,a30503a0,a040cd84,a0274f17,a1624695,a0a0c317,a0600399,a200e6b5,a142090b,a1660b17
a1054603,a0c24493,a3264300,a2730283,a0014601,a2028208,a0034815,a0020494,a4809285,a2c25201,a0831311,a1210704
a1429718,a1614193,a080110b,a122838f,a2a34314,a0a5cb1e,a08b4213,a2e5060c,a3864a0c,a1409188,a0a18b82,a1c78283
a1a00c97,a463c30f,a2020d88,a0e6820e,a4060497,a0008285,a2e8c915,a0c08180,a202022a,a181809e,a16c8080,a32d5b09
a1c05511,a36a821a,a389800a,a1c5849a,a1619506,a0a04e01,a0c10490,a144c803,a283d804,a4a8059b,a060402b,a1440389
a3610000,a2e10b0f,a1074784,a30f4802,a641ce8f,a0e00f85,a080c387,a081c885,a1c04505,a0409281,a0a0ce83,a0000801
a2434033,a0214d1b,a4440318,a220c982,a0488086,a7a34781,a0a0e207,a144c480,a04f0916,a4848122,a2008593,a382438f
a2288010,a3a406a9,a2638208,a1c2d215,a106e083,a702c603,a0414897,a0c10c9d,a2a384d6,a2420287,a5800305,a0610484
a3c78b8d,a0a39416,a3e3c083,a4e68385,a0850f1b,a441841a,a441568a,a3221485,a1011815,a4658086,a6c40902,a1e70293
a0881202,a2c11104,a7e04706,a1c58630,a3e5c0a5,a1614904,a0e38914,a2418701,a0644188,a2a0041c,a3218407,a4038894
a2880d0b,a085c183,a0c5c200,a0608d8e,a184440a,a2238b05,a301498d,a0620605,a1a58100,a1420080,a120c48c,a08a9281
a1044b01,a1a151c1,a1208101,a1229516,a1008306,a3824c81,a0005381,a0214713,a140c313,a2a1939b,a1c04006,a0828782
a2c40596,a3a5438a,a2074c0d,a042c081,a32f880d,a043c41a,a1a5cd80,a4204186,a200c78a,a0220984,a0434380,a1420300
a2c02404,a1410a0c,a2a0481b,a3649c17,a6014800,a5478000,a2a40281,a1a24b8e,a1634383,a0e30a39,a106c188,a0208c83
a6e04f0d,a8430303,a000011b,a1828002,a3688c86,a3870210,a2029310,a2c40687,a6404113,a148061b,a0208607,a0014602
a0a04609,a5e44387,a144c10c,a0ea0209,a0604113,a1018b88,a1820318,a0658582,a0250808,a0840605,a0010889,a1a2c589
a100850f,a0654480,a020839b,a081c587,a049448c,a0a7828f,a023c227,a0a5c301,a0410299,a0a98609,a043c606,a0e08205
a443c281,a1ef829d,a1420116,a0e3420a,a1e10114,a0600306,a04903a3,a220c118,a0830088,a02201a5,a1244101,a0808c81
a343c582,a029cd10,a263429a,a0010580,a400219e,a2660800,a3604582,a341400c,a0650010,a2a68484,a3828101,a2e64102
